Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
743 Pumps (excl liquid pumps) & parts,2020-03,48743.575000000004,2663.13,213934.006,27797.92,-4.2,-7.2,-0.3,2.2
744 Mechanical handling equip & parts,2020-03,58250.98800000002,1821.48,197760.36899999998,50252.5,-4.2,-7.2,-0.3,2.2
745 Non-electrical machinery & parts,2020-03,15731.489999999996,368.58,93584.47699999998,17608.42,-4.2,-7.2,-0.3,2.2
746 Ball or roller bearings,2020-03,4284.731,196.209,33328.316,2767.31,-4.2,-7.2,-0.3,2.2
"747 Taps, cocks & valves",2020-03,25617.728,1340.51,138298.37600000002,16408.58,-4.2,-7.2,-0.3,2.2
748 Transmission shafts & parts,2020-03,19907.200999999997,152.244,97706.45899999999,10867.69,-4.2,-7.2,-0.3,2.2
749 Non-electric parts for machinery,2020-03,6977.977999999999,45.381,29804.289999999994,3795.47,-4.2,-7.2,-0.3,2.2
751 Office machines,2020-03,12738.720999999998,547.501,112046.093,44602.04,-4.2,-7.2,-0.3,2.2
752 Computers,2020-03,92965.044,10626.57,834507.441,578776.19,-4.2,-7.2,-0.3,2.2
759 Computer parts & accessories,2020-03,23187.177999999993,4660.14,52610.028999999995,31460.92,-4.2,-7.2,-0.3,2.2
"761 Monitors, projectors & TVs",2020-03,5175.479000000001,8.616,162544.74699999997,74447.43,-4.2,-7.2,-0.3,2.2
762 Radio broadcast receivers,2020-03,908.659,,8902.841,3294.79,-4.2,-7.2,-0.3,2.2
763 Sound & video recorders,2020-03,1711.886,,8117.447999999999,3683.61,-4.2,-7.2,-0.3,2.2
764 Telecom equipment & parts,2020-03,191956.34900000005,15676.2,1272685.7959999999,665804.45,-4.2,-7.2,-0.3,2.2
771 Electric power machinery & parts,2020-03,19257.889999999996,151.501,118570.74199999998,45703.22,-4.2,-7.2,-0.3,2.2
772 Electrical circuits equipment,2020-03,56949.08599999998,2527.17,193478.76500000004,40938.84,-4.2,-7.2,-0.3,2.2
773 Electrical distributing equipment,2020-03,17096.465000000004,1067.31,136656.496,80221.31,-4.2,-7.2,-0.3,2.2
774 Medical electrodiagnostic apparatus,2020-03,10365.983000000002,23.464,86968.34000000001,5665.68,-4.2,-7.2,-0.3,2.2
"775 Household-type equipment, nes",2020-03,14515.477000000004,779.128,277313.49499999994,91448.86,-4.2,-7.2,-0.3,2.2
776 Electronic integrated circuits,2020-03,13387.009,1405.16,196519.629,112279.63,-4.2,-7.2,-0.3,2.2
"778 Electrical machinery & parts, nes",2020-03,46780.62300000001,1343.74,271957.675,75300.7,-4.2,-7.2,-0.3,2.2
781 Passenger motor vehicles,2020-03,26216.783000000003,494.036,1815295.0890000002,21818.57,-4.2,-7.2,-0.3,2.2
782 Goods vehicles,2020-03,31889.591999999997,,711748.4890000003,434.696,-4.2,-7.2,-0.3,2.2
"783 Road motor vehicles, nes",2020-03,2000.758,,24931.532000000003,418.858,-4.2,-7.2,-0.3,2.2
784 Vehicle parts & accessories,2020-03,93586.69500000002,1174.4,236633.888,23892.57,-4.2,-7.2,-0.3,2.2
785 Motorcycles & cycles,2020-03,7009.112999999999,201.862,91848.113,9627.65,-4.2,-7.2,-0.3,2.2
"786 Trailers, semi-trailers & containers",2020-03,9508.264,502.689,57244.591,28437.43,-4.2,-7.2,-0.3,2.2
791 Railway vehicles (incl hovertrains),2020-03,3969.3500000000004,,46723.354999999996,32197.73,-4.2,-7.2,-0.3,2.2
"792 Aircraft, spacecraft & parts",2020-03,232265.00800000006,238.507,656838.326,1333.33,-4.2,-7.2,-0.3,2.2
"793 Ships, boats & floating structures",2020-03,29663.292999999994,702.048,22138.675000000003,804.47,-4.2,-7.2,-0.3,2.2
811 Prefabricated buildings,2020-03,1171.903,,4543.1630000000005,1503.54,-4.2,-7.2,-0.3,2.2
"812 Sanitary, plumbing & heating fittings",2020-03,591.478,,18655.259000000005,5875.89,-4.2,-7.2,-0.3,2.2
813 Lighting fixtures & fittings,2020-03,8861.960999999998,145.732,55097.12399999999,32702.21,-4.2,-7.2,-0.3,2.2
"821 Furniture, mattresses & cushions",2020-03,13694.902999999998,990.705,235994.757,117767.5,-4.2,-7.2,-0.3,2.2
"831 Travel goods, bags & like containers",2020-03,8762.944999999998,69.268,99617.07100000003,35401.55,-4.2,-7.2,-0.3,2.2
841 Men's clothing (excl knitted),2020-03,3839.615000000001,19.237,105821.67600000002,48935.35,-4.2,-7.2,-0.3,2.2
842 Women's clothing (excl knitted),2020-03,8870.184000000001,156.709,136016.14700000003,67553.3,-4.2,-7.2,-0.3,2.2
"843 Men's clothing, knitted",2020-03,2285.3579999999997,107.591,47831.80500000001,24407.63,-4.2,-7.2,-0.3,2.2
"844 Women's clothing, knitted",2020-03,2381.916,2.071,74292.62,43808.52,-4.2,-7.2,-0.3,2.2
845 Other textile clothing,2020-03,9494.015000000001,478.286,237976.609,123138.69,-4.2,-7.2,-0.3,2.2
846 Textile clothing accessories,2020-03,2072.1219999999994,102.292,34709.304,17412.7,-4.2,-7.2,-0.3,2.2
"848 Clothing accessories, nes",2020-03,11286.707000000002,3169.49,52792.806999999986,16450.81,-4.2,-7.2,-0.3,2.2
851 Footwear,2020-03,10226.231,775.686,155088.08799999996,59068.11,-4.2,-7.2,-0.3,2.2
871 Optical instruments,2020-03,3363.607000000001,264.734,31109.565,2002.95,-4.2,-7.2,-0.3,2.2
872 Medical instruments (incl veterinary),2020-03,144320.56899999996,7608.3,284795.398,21013.41,-4.2,-7.2,-0.3,2.2
873 Meters & counters,2020-03,3336.6699999999996,,16790.913999999997,3307.22,-4.2,-7.2,-0.3,2.2
874 Measuring & analysing instruments,2020-03,195973.0399999999,20063.18,316626.6420000001,21354.23,-4.2,-7.2,-0.3,2.2
881 Photographic equipment,2020-03,3202.235,,7588.786000000001,1742.89,-4.2,-7.2,-0.3,2.2
882 Photo & cinematographic supplies,2020-03,1694.362,40.276,10793.562000000002,1832.04,-4.2,-7.2,-0.3,2.2
"883 Cinematographic film, developed",2020-03,2.2,,,,-4.2,-7.2,-0.3,2.2
"884 Optical goods, nes",2020-03,20317.936,431.875,73547.00100000005,21310.55,-4.2,-7.2,-0.3,2.2
885 Watches & clocks,2020-03,17174.429999999997,0.558,52561.209,6351.36,-4.2,-7.2,-0.3,2.2
891 Arms & ammunition,2020-03,8654.173000000003,,52164.496999999996,122.027,-4.2,-7.2,-0.3,2.2
892 Printed matter,2020-03,22683.269000000008,368.587,66155.809,12073.46,-4.2,-7.2,-0.3,2.2
"893 Plastic articles, nes",2020-03,32422.006999999998,3367.91,239634.932,93846.31,-4.2,-7.2,-0.3,2.2
"894 Prams, toys, games & sporting goods",2020-03,51909.54400000001,268.463,180561.31399999998,97667.67,-4.2,-7.2,-0.3,2.2
"895 Office & stationery supplies, nes",2020-03,2471.698,3.65,13645.351,4143.8,-4.2,-7.2,-0.3,2.2
896 Artwork & antiques,2020-03,11012.781000000006,28.872,14707.880999999994,46.907,-4.2,-7.2,-0.3,2.2
897 Jewellery,2020-03,49546.72699999999,126.444,128998.87200000003,15804.99,-4.2,-7.2,-0.3,2.2
898 Musical instruments & parts,2020-03,12589.412,384.416,67943.952,10887.11,-4.2,-7.2,-0.3,2.2
"899 Misc manufactured articles, nes",2020-03,40440.86200000001,869.343,228359.25400000002,24383.34,-4.2,-7.2,-0.3,2.2
931 Special transactions & commodities,2020-03,101675.61899999998,2354.71,395.22300000000007,,-4.2,-7.2,-0.3,2.2
951 Gold coin & legal tender coin,2020-03,51962.15899999999,,4938.585999999999,43.73,-4.2,-7.2,-0.3,2.2
961 Coin (excl gold coin) not legal tender,2020-03,11.804,,739.764,,-4.2,-7.2,-0.3,2.2
971 Gold,2020-03,3520780.1500000004,,1063830.1439999999,98.405,-4.2,-7.2,-0.3,2.2
988 Confidential items of trade,2020-03,595701.8630000011,1575549.89,329268.27199999994,42107.38,-4.2,-7.2,-0.3,2.2
Grand Total,2020-03,35543218.47500001,12726974.949999996,24056839.580000013,4666332.405999999,-4.2,-7.2,-0.3,2.2
001 Live animals (excl seafood),2020-06,189308.84900000002,28103.94,17750.79,,-7.6,-12.3,-7,-0.3
"011 Beef, f.c.f.",2020-06,856285.4500000002,172588.48,1480.181,,-7.6,-12.3,-7,-0.3
"012 Meat (excl beef), f.c.f.",2020-06,351801.26100000006,72182.18,44877.380000000005,,-7.6,-12.3,-7,-0.3
"016 Meat, salted or dried",2020-06,60.652,,2408.4179999999997,,-7.6,-12.3,-7,-0.3
"017 Meat, prepared or preserved",2020-06,10631.415,178.564,10054.777000000002,630.296,-7.6,-12.3,-7,-0.3
"022 Milk, cream, whey & yoghurt",2020-06,146996.99300000002,58884.61,55610.109000000004,551.492,-7.6,-12.3,-7,-0.3
023 Butter,2020-06,9917.180999999999,2431.81,25182.444,,-7.6,-12.3,-7,-0.3
024 Cheese & curd,2020-06,94510.10399999999,13626.58,59871.848,,-7.6,-12.3,-7,-0.3
025 Birds' eggs,2020-06,877.468,,1176.7540000000001,181.765,-7.6,-12.3,-7,-0.3
"034 Fish, f.c.f.",2020-06,29118.687,6554.28,33118.574,3306.24,-7.6,-12.3,-7,-0.3
"035 Fish, salted or dried",2020-06,133.13,,8762.248,65.98,-7.6,-12.3,-7,-0.3
"036 Crustaceans, f.c.f.",2020-06,47232.304,35024.88,29694.756,10084.13,-7.6,-12.3,-7,-0.3
"037 Seafood, prepared or preserved",2020-06,2712.035,271.805,65250.359000000004,7647.62,-7.6,-12.3,-7,-0.3
041 Wheat,2020-06,421569.591,93733.07,22378.329,,-7.6,-12.3,-7,-0.3
042 Rice,2020-06,4046.36,,43282.641,530.942,-7.6,-12.3,-7,-0.3
043 Barley,2020-06,65571.25300000001,1094.91,29.836,29.836,-7.6,-12.3,-7,-0.3
044 Maize,2020-06,334.16499999999996,,285.65,,-7.6,-12.3,-7,-0.3
045 Other cereals,2020-06,4965.723,2390.31,2351.503,340.08,-7.6,-12.3,-7,-0.3
046 Wheat flour,2020-06,2054.213,324.853,4125.236000000001,73.697,-7.6,-12.3,-7,-0.3
047 Other cereal flours,2020-06,1154.781,33.28,3005.960000000001,63.539,-7.6,-12.3,-7,-0.3
048 Cereal preparations,2020-06,70867.61,6283.56,122916.70399999998,8036.61,-7.6,-12.3,-7,-0.3
"054 Vegetables, f.c.f.",2020-06,127205.12599999999,14603.24,33543.386000000006,6478.19,-7.6,-12.3,-7,-0.3
"056 Vegetables, prepared or preserved",2020-06,9176.176,578.072,80922.48300000001,11567.67,-7.6,-12.3,-7,-0.3
057 Fruit & nuts,2020-06,204650.82599999994,55815.55,62998.21899999999,4617.88,-7.6,-12.3,-7,-0.3
"058 Fruit, prepared or preserved",2020-06,5200.335999999999,247.348,54401.863999999994,6616.56,-7.6,-12.3,-7,-0.3
059 Fruit juices,2020-06,5404.111999999999,698.398,15681.404999999999,2731.55,-7.6,-12.3,-7,-0.3
"061 Sugars, molasses & honey",2020-06,13461.750000000002,2805.66,15207.618999999999,3043.95,-7.6,-12.3,-7,-0.3
062 Sugar confectionery,2020-06,7528.292999999999,1962.71,19983.693000000003,5834.9,-7.6,-12.3,-7,-0.3
071 Coffee & substitutes,2020-06,5141.719999999999,133.35,87143.69799999999,549.031,-7.6,-12.3,-7,-0.3
072 Cocoa,2020-06,135.01100000000002,,38528.39699999998,3.395,-7.6,-12.3,-7,-0.3
073 Chocolate & preparations of cocoa,2020-06,23475.388000000006,481.618,43660.837999999996,973.084,-7.6,-12.3,-7,-0.3
074 Tea & mate,2020-06,877.538,21.3,11193.153,606.438,-7.6,-12.3,-7,-0.3
075 Spices,2020-06,1841.2060000000001,2.187,12618.899,1138.19,-7.6,-12.3,-7,-0.3
081 Animal feed,2020-06,118859.10099999998,15652.17,142241.35100000002,3854.52,-7.6,-12.3,-7,-0.3
091 Margarine,2020-06,15615.211999999998,821.924,4148.488,80.827,-7.6,-12.3,-7,-0.3
"098 Edible products & preparations, nes",2020-06,208719.35199999998,112856.31,342049.08300000004,28744.05,-7.6,-12.3,-7,-0.3
"111 Non-alcoholic beverages, nes",2020-06,9306.775000000001,1460.47,32326.066999999992,407.787,-7.6,-12.3,-7,-0.3
112 Alcoholic beverages,2020-06,331360.72699999996,112873.52,159864.20099999994,3066.26,-7.6,-12.3,-7,-0.3
"121 Tobacco, unmanufactured",2020-06,,,,,-7.6,-12.3,-7,-0.3
"122 Tobacco, manufactured",2020-06,7477.720000000002,21.569,76663.42899999997,133.052,-7.6,-12.3,-7,-0.3
"211 Hides & skins, raw (excl furskins)",2020-06,33229.10099999999,27225.35,300.84700000000004,47.529,-7.6,-12.3,-7,-0.3
"212 Furskins, raw",2020-06,,,153.819,,-7.6,-12.3,-7,-0.3
"222 Oil-seeds & oleaginous fruits, soft",2020-06,41662.875,36378.52,12841.245,1155.82,-7.6,-12.3,-7,-0.3
"223 Oil-seeds & oleaginous fruits, hard",2020-06,1177.821,,3247.33,1875.93,-7.6,-12.3,-7,-0.3
231 Natural rubber,2020-06,24.604,24.604,1368.7749999999999,18.203,-7.6,-12.3,-7,-0.3
232 Synthetic rubber,2020-06,588.9999999999999,,8341.935000000001,552.215,-7.6,-12.3,-7,-0.3
244 Cork,2020-06,,,45.812,,-7.6,-12.3,-7,-0.3
245 Fuel wood,2020-06,60.324,,1325.9899999999998,37.873,-7.6,-12.3,-7,-0.3
246 Wood in chips or particles,2020-06,89038.027,50485.35,850.8789999999999,65.842,-7.6,-12.3,-7,-0.3
"247 Wood, rough",2020-06,64861.748,61535.45,14.973,,-7.6,-12.3,-7,-0.3
"248 Wood, simply worked",2020-06,11337.002999999999,2091.22,70084.03799999999,9585.42,-7.6,-12.3,-7,-0.3
251 Pulp & waste paper,2020-06,15413.440999999999,1675.82,23879.03,,-7.6,-12.3,-7,-0.3
261 Silk,2020-06,,,4.29,,-7.6,-12.3,-7,-0.3
263 Cotton,2020-06,49669.415,25319.81,3.713,,-7.6,-12.3,-7,-0.3
264 Jute,2020-06,,,,,-7.6,-12.3,-7,-0.3
265 Other vegetable textile fibres,2020-06,,,402.478,,-7.6,-12.3,-7,-0.3
266 Synthetic fibres,2020-06,4.992,,4318.518,512.296,-7.6,-12.3,-7,-0.3
267 Other man-made fibres,2020-06,,,445.482,,-7.6,-12.3,-7,-0.3
268 Wool & other animal hair (incl tops),2020-06,148572.622,135201.47,1161.698,253.954,-7.6,-12.3,-7,-0.3
269 Worn clothing & rags,2020-06,5482.162,,1012.1239999999999,18.878,-7.6,-12.3,-7,-0.3
272 Crude fertilisers,2020-06,1419.2469999999998,64.46,12068.566000000003,375.49,-7.6,-12.3,-7,-0.3
"273 Stone, sand & gravel",2020-06,11405.932999999999,63.765,3035.6049999999996,862.556,-7.6,-12.3,-7,-0.3
274 Sulphur & iron pyrites,2020-06,,,14401.027000000002,14.567,-7.6,-12.3,-7,-0.3
277 Natural abrasives,2020-06,4281.938999999999,,625.688,383.176,-7.6,-12.3,-7,-0.3
"278 Crude minerals, nes",2020-06,71419.55,66095.52,9643.577,2625.3,-7.6,-12.3,-7,-0.3
280 Confidential mineral ores,2020-06,429962.41,,,,-7.6,-12.3,-7,-0.3
281 Iron ores & concentrates,2020-06,10201883.36,8420988.85,14759.688999999998,,-7.6,-12.3,-7,-0.3
282 Ferrous waste & scrap,2020-06,64005.541999999994,200.617,202.923,,-7.6,-12.3,-7,-0.3
283 Copper ores & concentrates,2020-06,895920.4299999999,240865.69,1055.318,,-7.6,-12.3,-7,-0.3
284 Nickel ores & concentrates,2020-06,31450.37,31450.37,,,-7.6,-12.3,-7,-0.3
285 Aluminium ores & conc (incl alumina),2020-06,670645.25,150148.3,613.171,289.677,-7.6,-12.3,-7,-0.3
287 Other ores & concentrates,2020-06,242696.93200000003,112691.28,1834.197,1000.16,-7.6,-12.3,-7,-0.3
288 Non-ferrous waste & scrap,2020-06,113599.974,21853.49,932.7030000000001,54.205,-7.6,-12.3,-7,-0.3
289 Precious metal ores & conc (excl gold),2020-06,232134.47,35724.38,357.025,,-7.6,-12.3,-7,-0.3
"291 Crude animal matter, nes",2020-06,28991.079999999998,7051.86,6768.357999999999,557.781,-7.6,-12.3,-7,-0.3
"292 Crude vegetable matter, nes",2020-06,20885.434,533.116,54761.424999999996,10664.71,-7.6,-12.3,-7,-0.3
321 Coal,2020-06,3631450.8600000003,1350631.34,6246.607,351.36,-7.6,-12.3,-7,-0.3
"322 Briquettes, lignite & peat",2020-06,12.477,,2612.132,,-7.6,-12.3,-7,-0.3
325 Coke & semi-coke,2020-06,,,5577.103999999999,503.462,-7.6,-12.3,-7,-0.3
333 Crude petroleum,2020-06,419140.01,107359.13,199367.79999999996,,-7.6,-12.3,-7,-0.3
334 Refined petroleum,2020-06,229595.11600000004,19526.73,1297029.1350000002,24632.93,-7.6,-12.3,-7,-0.3
"335 Residual petroleum products, nes",2020-06,71.76199999999999,,69469.55100000002,18529,-7.6,-12.3,-7,-0.3
342 Liquefied propane & butane,2020-06,112045.56799999998,,24708.148,165.428,-7.6,-12.3,-7,-0.3
343 Natural gas,2020-06,2629421.6,,0,,-7.6,-12.3,-7,-0.3
344 Petroleum gases,2020-06,455.807,,1019.1569999999999,316.253,-7.6,-12.3,-7,-0.3
"345 Coal gas, water gas & similar gases",2020-06,8.8,,,,-7.6,-12.3,-7,-0.3
411 Animal oils & fats,2020-06,37353.235,3903.15,8825.094,761.545,-7.6,-12.3,-7,-0.3
"421 Fixed vegetable oils & fats, soft",2020-06,17465.849,424.094,41470.888,476.339,-7.6,-12.3,-7,-0.3
"422 Fixed vegetable oils & fats, hard",2020-06,1320.711,557.908,20541.18399999999,1041.51,-7.6,-12.3,-7,-0.3
"431 Other animal or veg oils, fats & waxes",2020-06,1523.209,,4562.235999999999,506.487,-7.6,-12.3,-7,-0.3
511 Hydrocarbons & derivatives,2020-06,17.849999999999998,,7817.3719999999985,1678.26,-7.6,-12.3,-7,-0.3
"512 Alcohols, phenols & derivatives",2020-06,4963.592000000002,90.984,32157.334,9180.64,-7.6,-12.3,-7,-0.3
513 Carboxylic acids & derivatives,2020-06,3688.9230000000007,,34533.44799999999,16728.35,-7.6,-12.3,-7,-0.3
514 Nitrogen-function compounds,2020-06,3131.5319999999997,63.624,59903.59300000001,31260.85,-7.6,-12.3,-7,-0.3
515 Organo-inorganic compounds,2020-06,1578.899,,85748.092,60037.06,-7.6,-12.3,-7,-0.3
516 Other organic chemicals,2020-06,1058.524,305.931,22803.511,4773.03,-7.6,-12.3,-7,-0.3
522 Inorganic chemical elements,2020-06,54028.09800000001,280.134,22535.024999999994,7559.94,-7.6,-12.3,-7,-0.3
523 Salts of inorganic acids & metals,2020-06,7159.68,3.006,58810.926,21682.12,-7.6,-12.3,-7,-0.3
524 Other inorganic chemicals,2020-06,512.0709999999999,,3975.791,908.281,-7.6,-12.3,-7,-0.3
525 Radioactive materials,2020-06,546.332,,7009.1010000000015,7.176,-7.6,-12.3,-7,-0.3
531 Synthetic organic colouring,2020-06,2184.4519999999998,30.871,6153.788,2011.65,-7.6,-12.3,-7,-0.3
532 Dyeing & tanning extracts,2020-06,705.747,,2968.7999999999997,484.653,-7.6,-12.3,-7,-0.3
"533 Pigments, paints & varnishes",2020-06,91652.31499999996,16030.15,84819.647,10381.12,-7.6,-12.3,-7,-0.3
541 Pharm products (excl medicaments),2020-06,379785.8570000001,42850.21,466795.49800000014,32602.05,-7.6,-12.3,-7,-0.3
542 Medicaments (incl veterinary),2020-06,241117.68099999995,96091.36,719387.2889999999,7306.86,-7.6,-12.3,-7,-0.3
551 Essential oils & perfumes,2020-06,18221.831999999995,545.563,30946.149,2173.58,-7.6,-12.3,-7,-0.3
553 Perfumery & cosmetics (excl soap),2020-06,89494.25300000003,13364.38,171659.257,16256.29,-7.6,-12.3,-7,-0.3
554 Soap & cleansers,2020-06,29824.006999999994,3103.19,141371.75699999998,39532.2,-7.6,-12.3,-7,-0.3
562 Fertilisers (excl crude),2020-06,20672.599000000002,,283865.157,30885.08,-7.6,-12.3,-7,-0.3
571 Primary ethylene polymers,2020-06,617.3870000000001,45.638,49217.32000000001,,-7.6,-12.3,-7,-0.3
572 Primary styrene polymers,2020-06,580.71,15,9230.502000000002,231.732,-7.6,-12.3,-7,-0.3
573 Primary vinyl chloride polymers,2020-06,508.084,29.408,18944.402,128.764,-7.6,-12.3,-7,-0.3
574 Primary polyacetals,2020-06,3542.847,294.596,33353.152,4825.53,-7.6,-12.3,-7,-0.3
575 Other primary plastics,2020-06,10675.302000000001,1849.88,79754.14199999999,18759.91,-7.6,-12.3,-7,-0.3
579 Primary plastic waste & scrap,2020-06,2266.7170000000006,15.425,560.3009999999999,18.23,-7.6,-12.3,-7,-0.3
"581 Plastic tubes, pipes & hoses",2020-06,13005.016000000003,276.776,45907.413000000015,16734.73,-7.6,-12.3,-7,-0.3
"582 Plastic plates, sheets & film",2020-06,11933.168000000003,1178.2,160849.888,37343.23,-7.6,-12.3,-7,-0.3
583 Plastic monofilament,2020-06,1597.3660000000002,0.362,10705.935999999998,6140.17,-7.6,-12.3,-7,-0.3
"591 Insecticides, herbicides, disinfectants",2020-06,29073.201999999994,3482.74,224844.55900000007,136439.57,-7.6,-12.3,-7,-0.3
"592 Starches, inulin & wheat gluten",2020-06,54965.68800000002,4172.33,44217.183,6282.06,-7.6,-12.3,-7,-0.3
593 Explosives & pyrotechnics,2020-06,3091.980000000001,94.693,19170.503,5840.82,-7.6,-12.3,-7,-0.3
597 Prepared additives for mineral oils,2020-06,6947.609000000001,589.619,32201.385000000006,2684.66,-7.6,-12.3,-7,-0.3
"598 Miscellaneous chemical products, nes",2020-06,22919.706000000002,1698.19,133610.256,30325.43,-7.6,-12.3,-7,-0.3
599 Residual chemical wastes,2020-06,193.487,,12.073,,-7.6,-12.3,-7,-0.3
611 Leather,2020-06,4820.338,2209.67,1945.698,18.439,-7.6,-12.3,-7,-0.3
612 Leather manufactures,2020-06,755.984,4.328,5031.748,2931.95,-7.6,-12.3,-7,-0.3
"613 Furskins, tanned or dressed",2020-06,,,1003.804,757.49,-7.6,-12.3,-7,-0.3
621 Materials of rubber,2020-06,3325.8430000000008,352.609,32142.882999999987,4780.03,-7.6,-12.3,-7,-0.3
"625 Rubber tyres, treads & tubes",2020-06,6581.934000000003,89.847,209268.778,69312.48,-7.6,-12.3,-7,-0.3
"629 Rubber articles, nes",2020-06,9007.05,492.909,72754.831,29680.26,-7.6,-12.3,-7,-0.3
633 Cork manufactures,2020-06,353.02200000000005,,4710.023000000001,221.213,-7.6,-12.3,-7,-0.3
"634 Veneers, plywood & particle board",2020-06,3822.1420000000003,1727.07,55028.975,30594.34,-7.6,-12.3,-7,-0.3
"635 Wood manufactures, nes",2020-06,4103.219,212.218,58247.094,27896.2,-7.6,-12.3,-7,-0.3
641 Paper & paperboard,2020-06,78645.73999999999,12855.67,142386.442,34242.91,-7.6,-12.3,-7,-0.3
"642 Paper & paperboard, cut to size",2020-06,8657.440999999995,48.42,174570.505,92834.21,-7.6,-12.3,-7,-0.3
651 Textile yarn,2020-06,1709.696,7.359,21698.504000000004,7711.17,-7.6,-12.3,-7,-0.3
"652 Cotton fabrics, woven",2020-06,725.406,0.54,6877.572,2851.47,-7.6,-12.3,-7,-0.3
"653 Man-made fabrics, woven",2020-06,2048.917,125.954,12215.962000000001,6063.67,-7.6,-12.3,-7,-0.3
"654 Other textile fabrics, woven",2020-06,460.65299999999996,45.308,5919.728,1994.87,-7.6,-12.3,-7,-0.3
655 Knitted or crocheted fabrics,2020-06,432.00999999999993,35.725,7974.058999999999,3686.83,-7.6,-12.3,-7,-0.3
"656 Tulles, lace & ribbons",2020-06,139.60199999999998,,3174.6679999999997,1609.81,-7.6,-12.3,-7,-0.3
657 Special yarns & fabrics,2020-06,8946.664999999999,1622.21,56541.50500000001,24045.24,-7.6,-12.3,-7,-0.3
"658 Made-up textile articles, nes",2020-06,6578.288999999999,126.08,416523.66199999995,357410.63,-7.6,-12.3,-7,-0.3
659 Floor coverings,2020-06,3144.572,,39691.636,14670.46,-7.6,-12.3,-7,-0.3
"661 Lime, cement & construction materials",2020-06,3857.1569999999997,607.982,49098.38,14636.98,-7.6,-12.3,-7,-0.3
662 Clay construction materials,2020-06,3228.7849999999994,13.091,49938.307,27069.07,-7.6,-12.3,-7,-0.3
"663 Mineral manufactures, nes",2020-06,5614.970000000001,125.655,78382.054,32982.99,-7.6,-12.3,-7,-0.3
664 Glass,2020-06,3238.5330000000004,228.634,44877.718,27649.75,-7.6,-12.3,-7,-0.3
665 Glassware,2020-06,2571.288,625.736,32250.701,17464.12,-7.6,-12.3,-7,-0.3
666 Pottery,2020-06,1092.485,27.336,12114.834,10095.06,-7.6,-12.3,-7,-0.3
667 Pearls & gems,2020-06,28152.728,3.96,36919.79,316.728,-7.6,-12.3,-7,-0.3
671 Pig-iron,2020-06,161.304,,8929.333999999999,1170.34,-7.6,-12.3,-7,-0.3
672 Iron or steel ingots,2020-06,1113.987,8.75,39.39,14.93,-7.6,-12.3,-7,-0.3
